time_h,t_room,u_kw,setpoint_c,elec_kw,price,arm,degraded,pred_err
35.916666666666664,24.04511202131681,0.0,26.0,5.875671442862719e-22,0.0332016,gccm_safe,1,0.8741748500057085
36.0,27.05357337740253,-1.5,18.0,1.0631924451564407,0.0319049,gccm_safe,1,6.545793788849494
36.083333333333336,24.22997990926814,-0.5146857066474544,23.25500956454691,0.9980284297790987,0.0319049,gccm_safe,1,4.510037708683242
36.166666666666664,23.643543102171463,0.0,26.0,9.376671146623537e-11,0.0319049,gccm_safe,1,0.5208534185221261
36.25,27.087015363505486,-1.5,18.0,1.0813630893141493,0.0319049,gccm_safe,1,6.421811636632292
36.333333333333336,24.393240819711934,-0.8444859091441591,21.496075151231153,1.0195056388962391,0.0319049,gccm_safe,1,4.469274445055227
36.416666666666664,23.836594874139678,0.0,26.0,3.102399575433109e-12,0.0319049,gccm_safe,1,0.42153294675592434
36.5,27.356076154154152,-1.5,18.0,1.1040889813848347,0.0319049,gccm_safe,1,6.444863431588061
36.583333333333336,24.59754828595817,-1.2609903125848765,19.27471833288066,1.0403502055397795,0.0319049,gccm_safe,1,4.430060617562866
36.666666666666664,24.024002317101917,0.0,26.0,1.7995084806324836e-12,0.0319049,gccm_safe,1,0.29589345623451635
36.75,27.603067740770882,-1.5,18.0,1.1244329619696178,0.0319049,gccm_safe,1,6.422398246659643
36.833333333333336,24.780464080435024,-1.5,18.0,1.0587571879151783,0.0319049,gccm_safe,1,4.360146373876724
36.916666666666664,24.18950835236143,0.0,26.0,7.305400743429479e-14,0.0319049,gccm_safe,1,0.14933494177906326
37.0,27.818551831391005,-1.5,18.0,1.1420637558221078,0.0323463,gccm_safe,1,6.374069984230257
37.083333333333336,24.938992542490098,-1.5,18.0,1.0746743322117678,0.0323463,gccm_safe,1,4.257624292126099
37.166666666666664,24.33263005306145,-0.7500963465719432,21.999486151616303,1.0630756390910663,0.0323463,gccm_safe,1,3.7545339970550806
37.25,24.228248077228955,-0.5451365295274343,23.092605175853684,1.0621980313290833,0.0323463,gccm_safe,1,3.615282490369232
37.333333333333336,24.2203294093091,-0.5329713505095469,23.15748613061575,1.063457196095324,0.0323463,gccm_safe,1,3.5465678431118164
37.416666666666664,24.231638349046193,-0.5594498691344996,23.016267364616002,1.0651677505692092,0.0323463,gccm_safe,1,3.484863481710981
37.5,24.247010700642193,-0.5943114173372019,22.830339107534922,1.066953528530822,0.0323463,gccm_safe,1,3.4262615636538527
37.583333333333336,24.263061839374302,-0.6307980587909924,22.63574368644804,1.0686832263659496,0.0323463,gccm_safe,1,3.3580603981947093
37.666666666666664,24.278610254797115,-0.6665383938832378,22.445128565956065,1.0702799742431266,0.0323463,gccm_safe,1,3.291360265044265
37.75,24.292964183014533,-0.7001289867016481,22.26597873759121,1.0716938070838864,0.0323463,gccm_safe,1,3.2205376904548295
37.833333333333336,24.305673915255454,-0.7306430164377484,22.10323724566534,1.072890990389226,0.0323463,gccm_safe,1,3.150907347377508
37.916666666666664,24.316435757355578,-0.7574406299272549,21.960316640387973,1.073848478696727,0.0323463,gccm_safe,1,3.0785134266356096
38.0,24.325042170561062,-0.7800708258475747,21.839622262146268,1.0745487383036276,0.0322483,gccm_safe,1,3.006427025216343
38.083333333333336,24.331335318111314,-0.7981793762499346,21.743043326667014,1.0749698895092674,0.0322483,gccm_safe,1,2.9281029360610518
38.166666666666664,24.335118351696053,-0.8113307492810132,21.672902670501262,1.0750973076677914,0.0322483,gccm_safe,1,2.8500848164429513
38.25,24.336259615246433,-0.8192176033025476,21.63083944905308,1.0749317997157648,0.0322483,gccm_safe,1,2.768698859345605
38.333333333333336,24.33476629229807,-0.8218103956107892,21.617011223409126,1.0744982610864644,0.0322483,gccm_safe,1,2.6872719491468047
38.416666666666664,24.33086229334816,-0.8195167692667743,21.62924389724387,1.073979073804551,0.0322483,gccm_safe,1,2.600827490628774
38.5,24.32618846457484,-0.8156055861297138,21.650103540641528,1.0732201655886542,0.0322483,gccm_safe,1,2.5158227944627534
38.583333333333336,24.319358504030504,-0.8072683067748813,21.694569030533966,1.0721805821635395,0.0322483,gccm_safe,1,2.4267068977266604
38.666666666666664,24.310003854827187,-0.7937257392820338,21.766796057162487,1.070866844087717,0.0322483,gccm_safe,1,2.337707743834617
38.75,24.298183099722166,-0.7750539474006957,21.86637894719629,1.0692885507349972,0.0322483,gccm_safe,1,2.247712217559741
38.833333333333336,24.283982522196766,-0.7513858343865072,21.992608883271963,1.0674537335198482,0.0322483,gccm_safe,1,2.157809781418983
38.916666666666664,24.26747429756273,-0.7228272900778109,22.144921119585007,1.0653644795330144,0.0322483,gccm_safe,1,2.0669675596204264
39.0,24.248677118493504,-0.6893775505809203,22.32331973023509,1.0630491254746657,0.032691,gccm_safe,1,1.976032051833748
39.083333333333336,24.22784322614632,-0.6515071529889904,22.525295184058717,1.06058954581989,0.032691,gccm_safe,1,1.8850965013821899
39.166666666666664,24.205705613466932,-0.6106603545213318,22.74314477588623,1.0580185609310984,0.032691,gccm_safe,1,1.793957241108746
39.25,24.182558526411412,0.0,26.0,3.89266629024961e-13,0.032691,gccm_safe,1,2.033046820899205
